method,image_index,class,spurious_frac,focus_score,attr_mean_abs,attr_std
LIME,0,cat,0.1963,0.3742,0.07201,0.076651
LIME,1,airplane,0.3486,0.6951,0.427848,0.441363
LIME,2,automobile,0.1748,0.3311,0.145282,0.176011
LIME,3,dog,0.2852,0.3615,0.331146,0.415483
LIME,4,deer,0.251,0.2868,0.337215,0.421067
LIME,5,bird,0.1826,0.2329,0.216476,0.268154
IG,0,cat,0.1533,0.0933,0.043048,0.077716
IG,1,airplane,0.209,0.1083,0.276962,0.404528
IG,2,automobile,0.1895,0.0895,0.084233,0.138395
IG,3,dog,0.1963,0.1003,0.104887,0.165318
IG,4,deer,0.1533,0.0679,0.409599,0.764034
IG,5,bird,0.1826,0.0815,0.268526,0.453682
GradCAM,0,cat,0.2637,0.1354,0.185756,0.231131
GradCAM,1,airplane,0.0,0.0,0.0,0.0
GradCAM,2,automobile,0.3408,0.661,0.538157,0.252962
GradCAM,3,dog,0.3545,0.4768,0.417746,0.274867
GradCAM,4,deer,0.2773,0.173,0.255764,0.356628
GradCAM,5,bird,0.2861,0.2614,0.241341,0.31564
SmoothGrad,0,cat,0.2324,0.1708,0.013261,0.017881
SmoothGrad,1,airplane,0.2363,0.1849,0.005716,0.007499
SmoothGrad,2,automobile,0.1699,0.1177,0.017568,0.027266
SmoothGrad,3,dog,0.2285,0.1399,0.002989,0.004033
SmoothGrad,4,deer,0.2178,0.1548,0.006551,0.009235
SmoothGrad,5,bird,0.2051,0.1519,0.018171,0.026191
